Domain,NS1_Records,NS2_Records,MX1_Records,MX2_Records,DNS_A_Records,RIPE_Organization,RIPE_OrgAbuseEmail,SSL,Status,Hosting_Name,TechName,TechCat,Tech_Desc
ocapoteiro.com,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
24horasonline.net,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
portomarketing.net,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
realizarteproducoes.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
davidvega.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
fortvolt.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
3pontosaneis.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
fortgesso.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
pipc.org.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
otima.ind.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
clubedinheiro.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
arcontecnica.com,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
imasterfile.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
adst.com.br,a.auto.dns.br,b.auto.dns.br, (Priority: 0),No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
fecofer.com.br,a.auto.dns.br,b.auto.dns.br, (Priority: 0),No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
dnls.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
djch.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
acupunturadebrasilia.com.br,No NS Records,No NS Records,No MX Records,No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
shopgator.com.br,a.auto.dns.br,b.auto.dns.br, (Priority: 0),No MX Records,No A Records,No Organization Info,No Org Abuse Email Info,False,Offline,Unknown,,,
